sentence_id,words,labels
1,ATLID,ENT
1,shall,O
1,provide,ACT
1,a,O
1,continuous,ATTR
1,sequence,ATTR
1,of,O
1,samples,O
1,of,O
1,the,O
1,temporal,ENT
1,profile,ENT
1,of,O
1,the,O
1,echo,ENT
1,within,O
1,the,O
1,altitude,O
1,range,O
1,[,RELOP
1,-0.5km,QUANT
1,",",O
1,40km,QUANT
1,],RELOP
1,.,O
2,ATLID,ENT
2,shall,O
2,operate,ACT
2,at,O
2,a,O
2,fixed,ATTR
2,wavelength,ENT
2,in,O
2,the,O
2,range,O
2,354.8,QUANT
2,nm,QUANT
2,±,RELOP
2,0.5,RELOP
2,nm,RELOP
2,.,O
3,The,O
3,polarisation,ATTR
3,impurity,ATTR
3,of,O
3,the,O
3,emitted,ENT
3,laser,ENT
3,light,ENT
3,at,O
3,the,O
3,output,O
3,of,O
3,ATLID,ENT
3,shall,O
3,be,O
3,less,RELOP
3,than,RELOP
3,1,QUANT
3,%,QUANT
3,(TBC).,O
4,The,O
4,minimum,RELOP
4,Molecular,ATTR
4,Cleanliness,ATTR
4,Level,ATTR
4,for,O
4,ATLID,ENT
4,components,ENT
4,in,O
4,vicinity,O
4,of,O
4,critical,O
4,units,O
4,and,O
4,in,O
4,laser,O
4,beam,O
4,vicinity,O
4,shall,O
4,be,O
4,maintained,ACT
4,at,O
4,1x10-7gcm-2,QUANT
4,.,O
5,The,O
5,minimum,RELOP
5,Molecular,ATTR
5,Cleanliness,ATTR
5,Level,ATTR
5,for,O
5,ATLID,ENT
5,components,ENT
5,in,O
5,vicinity,O
5,of,O
5,critical,O
5,units,O
5,and,O
5,out,O
5,of,O
5,laser,O
5,beam,O
5,vicinity,O
5,shall,O
5,be,O
5,maintained,ACT
5,at,O
5,5x10-7gcm-2,QUANT
5,.,O
6,The,O
6,minimum,RELOP
6,Molecular,ATTR
6,Cleanliness,ATTR
6,Level,ATTR
6,for,O
6,ATLID,ENT
6,optical,ENT
6,components,ENT
6,away,O
6,from,O
6,critical,O
6,units,O
6,shall,O
6,be,O
6,maintained,ACT
6,at,O
6,5x10-7gcm-2,QUANT
6,.,O
7,The,O
7,minimum,RELOP
7,Molecular,ATTR
7,Cleanliness,ATTR
7,Level,ATTR
7,for,O
7,ATLID,ENT
7,non-optical,ENT
7,components,ENT
7,away,O
7,from,O
7,critical,O
7,units,O
7,shall,O
7,be,O
7,maintained,ACT
7,at,O
7,5x10-7gcm-2,QUANT
7,.,O
8,The,O
8,minimum,RELOP
8,Particulate,ATTR
8,Cleanliness,ATTR
8,Level,ATTR
8,for,O
8,ATLID,ATTR
8,components,ATTR
8,in,O
8,vicinity,O
8,of,O
8,critical,O
8,units,O
8,and,O
8,in,O
8,laser,O
8,beam,O
8,vicinity,O
8,shall,O
8,be,O
8,maintained,ACT
8,at,O
8,10mm2/m2,O
8,.,O
9,The,O
9,minimum,RELOP
9,Particulate,ATTR
9,Cleanliness,ATTR
9,Level,ATTR
9,for,O
9,ATLID,ENT
9,components,ENT
9,in,O
9,vicinity,O
9,of,O
9,critical,O
9,units,O
9,and,O
9,out,O
9,of,O
9,laser,O
9,beam,O
9,vicinity,O
9,shall,O
9,be,O
9,maintained,ACT
9,at,O
9,10mm2/m2,QUANT
9,.,O
10,The,O
10,minimum,RELOP
10,Particulate,ATTR
10,Cleanliness,ATTR
10,Level,ATTR
10,for,O
10,ATLID,ENT
10,optical,ENT
10,components,ENT
10,away,O
10,from,O
10,critical,O
10,units,O
10,shall,O
10,be,O
10,maintained,ACT
10,at,O
10,50mm2/m2,QUANT
10,.,O
11,The,O
11,minimum,RELOP
11,Particulate,ATTR
11,Cleanliness,ATTR
11,Level,ATTR
11,for,O
11,ATLID,ENT
11,non-optical,ENT
11,components,ENT
11,away,O
11,from,O
11,critical,O
11,units,O
11,shall,O
11,be,O
11,maintained,ACT
11,at,O
11,300mm2/m2,QUANT
11,.,O
12,Vertical,ATTR
12,profiles,ATTR
12,shall,O
12,be,O
12,measured,ACT
12,in,O
12,an,O
12,altitude,O
12,range,O
12,extending,O
12,from,O
12,-,O
12,0.5,O
12,km,O
12,up,O
12,to,O
12,40,O
12,km,O
12,with,O
12,respect,O
12,to,O
12,the,O
12,reference,O
12,ellipsoid.,O
13,The,O
13,vertical,ATTR
13,sampling,ATTR
13,interval,ATTR
13,shall,O
13,be,O
13,constant,RELOP
13,and,O
13,smaller,RELOP
13,than,RELOP
13,or,RELOP
13,equal,RELOP
13,to,RELOP
13,100,QUANT
13,m,QUANT
13,from,O
13,-0.5,O
13,km,O
13,to,O
13,20,O
13,km,O
13,and,O
13,smaller,RELOP
13,than,RELOP
13,or,RELOP
13,equal,RELOP
13,to,RELOP
13,500,QUANT
13,m,QUANT
13,with,O
13,a,O
13,target,RELOP
13,of,O
13,100m,QUANT
13,from,O
13,20,O
13,km,O
13,to,O
13,40,O
13,km,O
13,altitude.,O
14,The,O
14,knowledge,O
14,of,O
14,the,O
14,vertical,ATTR
